No,관리분류군,정이명여부,학명,대표국명,명명자,명명년도,Phylum,,Class,,Order,,Family,,Genus,,SubGenus,,Species,,콘텐츠 여부,URL
39,조류,정명,"Mergellus albellus (Linnaeus, 1758)",흰비오리,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Mergellus,흰비오리속,,,albellus,흰비오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001470
40,조류,정명,"Mergus merganser Linnaeus, 1758",비오리,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Mergus,비오리속,,,merganser,비오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001472
41,조류,정명,"Mergus serrator Linnaeus, 1758",바다비오리,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Mergus,비오리속,,,serrator,바다비오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001473
42,조류,정명,"Mergus squamatus Gould, 1864",호사비오리,Gould,1864,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Mergus,비오리속,,,squamatus,호사비오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001474
43,조류,정명,"Gavia stellata (Pontoppidan, 1763)",아비,,,Chordata,척삭동물문,Aves,조강,Gaviiformes,아비목,Gaviidae,아비과,Gavia,아비속,,,stellata,아비,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001478
44,조류,정명,"Gavia arctica (Linnaeus, 1758)",큰회색머리아비,,,Chordata,척삭동물문,Aves,조강,Gaviiformes,아비목,Gaviidae,아비과,Gavia,아비속,,,arctica,큰회색머리아비,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001479
45,조류,정명,"Gavia pacifica (Lawrence, 1858)",회색머리아비,,,Chordata,척삭동물문,Aves,조강,Gaviiformes,아비목,Gaviidae,아비과,Gavia,아비속,,,pacifica,회색머리아비,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001480
46,조류,정명,"Gavia adamsii (G.R.Gray, 1859)",흰부리아비,,,Chordata,척삭동물문,Aves,조강,Gaviiformes,아비목,Gaviidae,아비과,Gavia,아비속,,,adamsii,흰부리아비,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001481
47,조류,정명,"Phoebastria albatrus (Pallas, 1769)",알바트로스,,,Chordata,척삭동물문,Aves,조강,Procellariiformes,슴새목,Diomedeidae,알바트로스과,Phoebastria,알바트로스속,,,albatrus,알바트로스,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001485
48,조류,정명,"Pterodroma hypoleuca (Salvin, 1888)",흰배슴새,,,Chordata,척삭동물문,Aves,조강,Procellariiformes,슴새목,Procellariidae,슴새과,Pterodroma,흰배슴새속,,,hypoleuca,흰배슴새,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001488
49,조류,정명,"Calonectris leucomelas (Temminck, 1836)",슴새,,,Chordata,척삭동물문,Aves,조강,Procellariiformes,슴새목,Procellariidae,슴새과,Calonectris,슴새속,,,leucomelas,슴새,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001490
50,조류,정명,"Bulweria bulwerii (Jardine & Selby, 1828)",검은슴새,,,Chordata,척삭동물문,Aves,조강,Procellariiformes,슴새목,Procellariidae,슴새과,Bulweria,검은슴새속,,,bulwerii,검은슴새,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001495
51,조류,정명,"Tachybaptus ruficollis (Pallas, 1764)",논병아리,,,Chordata,척삭동물문,Aves,조강,Podicipediformes,논병아리목,Podicipedidae,논병아리과,Tachybaptus,논병아리속,,,ruficollis,논병아리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001501
52,조류,정명,"Podiceps grisegena (Boddaert, 1783)",큰논병아리,,,Chordata,척삭동물문,Aves,조강,Podicipediformes,논병아리목,Podicipedidae,논병아리과,Podiceps,뿔논병아리속,,,grisegena,큰논병아리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001503
53,조류,정명,"Podiceps cristatus (Linnaeus, 1758)",뿔논병아리,,,Chordata,척삭동물문,Aves,조강,Podicipediformes,논병아리목,Podicipedidae,논병아리과,Podiceps,뿔논병아리속,,,cristatus,뿔논병아리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001504
54,조류,정명,"Podiceps auritus (Linnaeus, 1758)",귀뿔논병아리,,,Chordata,척삭동물문,Aves,조강,Podicipediformes,논병아리목,Podicipedidae,논병아리과,Podiceps,뿔논병아리속,,,auritus,귀뿔논병아리,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001505
55,조류,정명,"Podiceps nigricollis C.L.Brehm, 1831",검은목논병아리,C.L.Brehm,1831,Chordata,척삭동물문,Aves,조강,Podicipediformes,논병아리목,Podicipedidae,논병아리과,Podiceps,뿔논병아리속,,,nigricollis,검은목논병아리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001506
56,조류,정명,"Ciconia nigra (Linnaeus, 1758)",먹황새,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ciconiidae,황새과,Ciconia,황새속,,,nigra,먹황새,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001510
57,조류,정명,"Ciconia boyciana Swinhoe, 1873",황새,Swinhoe,1873,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ciconiidae,황새과,Ciconia,황새속,,,boyciana,황새,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001511
58,조류,정명,"Threskiornis melanocephalus (Latham, 1790)",검은머리흰따오기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Threskiornithidae,저어새과,Threskiornis,검은머리따오기속,,,melanocephalus,검은머리흰따오기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001514
59,조류,정명,"Nipponia nippon (Temminck, 1835)",따오기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Threskiornithidae,저어새과,Nipponia,따오기속,,,nippon,따오기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001516
60,조류,정명,"Platalea leucorodia Linnaeus, 1758",노랑부리저어새,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Threskiornithidae,저어새과,Platalea,저어새속,,,leucorodia,노랑부리저어새,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001518
61,조류,정명,"Platalea minor Temminck & Schlegel, 1849",저어새,Temminck & Schlegel,1849,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Threskiornithidae,저어새과,Platalea,저어새속,,,minor,저어새,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001519
62,조류,정명,"Botaurus stellaris (Linnaeus, 1758)",알락해오라기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Botaurus,알락해오라기속,,,stellaris,알락해오라기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001522
63,조류,정명,"Ixobrychus sinensis (Gmelin, 1789)",덤불해오라기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Ixobrychus,덤불해오라기속,,,sinensis,덤불해오라기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001524
64,조류,정명,"Ixobrychus eurhythmus (Swinhoe, 1873)",큰덤불해오라기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Ixobrychus,덤불해오라기속,,,eurhythmus,큰덤불해오라기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001525
65,조류,정명,"Ixobrychus cinnamomeus (Gmelin, 1789)",열대붉은해오라기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Ixobrychus,덤불해오라기속,,,cinnamomeus,열대붉은해오라기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001526
66,조류,정명,"Gorsachius goisagi (Temminck, 1836)",붉은해오라기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Gorsachius,붉은해오라기속,,,goisagi,붉은해오라기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001530
67,조류,정명,"Gorsachius melanolophus (Raffles, 1822)",푸른눈테해오라기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Gorsachius,붉은해오라기속,,,melanolophus,푸른눈테해오라기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001531
68,조류,정명,"Nycticorax nycticorax (Linnaeus, 1758)",해오라기,,,Chordata,척삭동물문,Aves,조강,Ciconiiformes,황새목,Ardeidae,백로과,Nycticorax,해오라기속,,,nycticorax,해오라기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001533
